popSize  pXover  pMut  mEpsilon 
10 0.5 0.05 0.05
10 3.7937 -3.7937  0.884906 1.01525
20 2.86355 -2.86355  -0.339568 -0.188762
30 0.10461 -0.10461  -0.0248556 -0.0150828
40 0.0605398 -0.0605398  -0.0182687 0.000231864
50 0.0605398 -0.0605398  -0.0182687 0.000231864
60 0.0605398 -0.0605398  -0.0182687 0.000231864
70 0.0605398 -0.0605398  -0.0182687 0.000231864
80 0.0605398 -0.0605398  -0.0182687 0.000231864
90 0.0605398 -0.0605398  -0.0182687 0.000231864
100 0.0605398 -0.0605398  -0.0182687 0.000231864
110 0.0605398 -0.0605398  -0.0182687 0.000231864
120 0.0605398 -0.0605398  -0.0182687 0.000231864
130 0.0605398 -0.0605398  -0.0182687 0.000231864
140 0.0605398 -0.0605398  -0.0182687 0.000231864
150 0.0605398 -0.0605398  -0.0182687 0.000231864
160 0.0605398 -0.0605398  -0.0182687 0.000231864
170 0.0605398 -0.0605398  -0.0182687 0.000231864
180 0.0605398 -0.0605398  -0.0182687 0.000231864
190 0.0605398 -0.0605398  -0.0182687 0.000231864
200 0.0605398 -0.0605398  -0.0182687 0.000231864
210 0.0605398 -0.0605398  -0.0182687 0.000231864
220 0.0605398 -0.0605398  -0.0182687 0.000231864
230 0.0605398 -0.0605398  -0.0182687 0.000231864
240 0.0605398 -0.0605398  -0.0182687 0.000231864
250 0.0605398 -0.0605398  -0.0182687 0.000231864
260 0.0605398 -0.0605398  -0.0182687 0.000231864
270 0.0605398 -0.0605398  -0.0182687 0.000231864
280 0.0605398 -0.0605398  -0.0182687 0.000231864
290 0.0605398 -0.0605398  -0.0182687 0.000231864
300 0.0605398 -0.0605398  -0.0182687 0.000231864
310 0.0605398 -0.0605398  -0.0182687 0.000231864
320 0.0605398 -0.0605398  -0.0182687 0.000231864
330 0.0605398 -0.0605398  -0.0182687 0.000231864
340 0.0605398 -0.0605398  -0.0182687 0.000231864
350 0.0605398 -0.0605398  -0.0182687 0.000231864
360 0.0605398 -0.0605398  -0.0182687 0.000231864
370 0.0605398 -0.0605398  -0.0182687 0.000231864
380 0.0605398 -0.0605398  -0.0182687 0.000231864
390 0.0605398 -0.0605398  -0.0182687 0.000231864
400 0.0605398 -0.0605398  -0.0182687 0.000231864
410 0.0605398 -0.0605398  -0.0182687 0.000231864
420 0.0605398 -0.0605398  -0.0182687 0.000231864
430 0.0605398 -0.0605398  -0.0182687 0.000231864
440 0.0605398 -0.0605398  -0.0182687 0.000231864
