popSize  pXover  pMut  mEpsilon 
10 0.5 0.05 0.05
10 -4.41504 -14.7935  -8.36432 -0.290257
20 -4.63739 -14.5711  -8.2253 -0.166931
30 -5.6817 -13.5268  8.04489 3.23134
40 -5.6817 -13.5268  8.04489 3.23134
50 -5.6817 -13.5268  8.04489 3.23134
60 -5.6817 -13.5268  8.04489 3.23134
70 -5.6817 -13.5268  8.04489 3.23134
80 -5.6817 -13.5268  8.04489 3.23134
90 -5.6817 -13.5268  8.04489 3.23134
100 -5.6817 -13.5268  8.04489 3.23134
110 -5.6817 -13.5268  8.04489 3.23134
120 -5.71214 -13.4964  8.14168 3.25327
130 -5.71214 -13.4964  8.14168 3.25327
140 -5.71214 -13.4964  8.14168 3.25327
150 -5.71214 -13.4964  8.14168 3.25327
160 -5.71214 -13.4964  8.14168 3.25327
170 -5.71214 -13.4964  8.14168 3.25327
180 -5.71214 -13.4964  8.14168 3.25327
190 -5.71214 -13.4964  8.14168 3.25327
200 -5.71214 -13.4964  8.14168 3.25327
210 -5.71214 -13.4964  8.14168 3.25327
220 -5.71214 -13.4964  8.14168 3.25327
230 -5.71214 -13.4964  8.14168 3.25327
240 -5.71214 -13.4964  8.14168 3.25327
250 -5.71214 -13.4964  8.14168 3.25327
260 -5.71214 -13.4964  8.14168 3.25327
270 -5.71214 -13.4964  8.14168 3.25327
280 -5.71214 -13.4964  8.14168 3.25327
290 -5.71214 -13.4964  8.14168 3.25327
300 -5.71214 -13.4964  8.14168 3.25327
310 -5.71214 -13.4964  8.14168 3.25327
320 -5.71214 -13.4964  8.14168 3.25327
330 -5.71214 -13.4964  8.14168 3.25327
340 -5.71214 -13.4964  8.14168 3.25327
350 -5.71214 -13.4964  8.14168 3.25327
360 -5.71214 -13.4964  8.14168 3.25327
370 -5.71214 -13.4964  8.14168 3.25327
380 -5.71214 -13.4964  8.14168 3.25327
390 -5.71214 -13.4964  8.14168 3.25327
400 -5.71214 -13.4964  8.14168 3.25327
410 -5.71214 -13.4964  8.14168 3.25327
420 -5.71214 -13.4964  8.14168 3.25327
430 -5.71214 -13.4964  8.14168 3.25327
440 -5.71214 -13.4964  8.14168 3.25327
450 -5.71214 -13.4964  8.14168 3.25327
460 -5.71214 -13.4964  8.14168 3.25327
