popSize  pXover  pMut  mEpsilon 
10 0.5 0.05 0.05
10 29.2995 -29.2995  0.57559 -5.38221
20 0.720483 -0.720483  -0.815705 0.234752
30 0.0980169 -0.0980169  0.00468307 0.313041
40 0.0287119 -0.0287119  -0.0670134 0.155631
50 0.0287119 -0.0287119  -0.0670134 0.155631
60 0.0287119 -0.0287119  -0.0670134 0.155631
70 0.0287119 -0.0287119  -0.0670134 0.155631
80 0.0287119 -0.0287119  -0.0670134 0.155631
90 0.00794462 -0.00794462  -0.066212 0.0596707
100 0.00794462 -0.00794462  -0.066212 0.0596707
110 0.00794462 -0.00794462  -0.066212 0.0596707
120 0.00794462 -0.00794462  -0.066212 0.0596707
130 0.00794462 -0.00794462  -0.066212 0.0596707
140 0.00794462 -0.00794462  -0.066212 0.0596707
150 0.00794462 -0.00794462  -0.066212 0.0596707
160 0.00794462 -0.00794462  -0.066212 0.0596707
170 0.00794462 -0.00794462  -0.066212 0.0596707
180 0.00474596 -0.00474596  -0.0316627 0.0611836
190 0.00474596 -0.00474596  -0.0316627 0.0611836
200 0.00474596 -0.00474596  -0.0316627 0.0611836
210 0.00474596 -0.00474596  -0.0316627 0.0611836
220 0.00474596 -0.00474596  -0.0316627 0.0611836
230 0.00474596 -0.00474596  -0.0316627 0.0611836
240 0.00474596 -0.00474596  -0.0316627 0.0611836
250 0.00474596 -0.00474596  -0.0316627 0.0611836
260 0.00474596 -0.00474596  -0.0316627 0.0611836
270 0.00474596 -0.00474596  -0.0316627 0.0611836
280 0.004265 -0.004265  -0.0649822 0.00650497
290 0.004265 -0.004265  -0.0649822 0.00650497
300 0.004265 -0.004265  -0.0649822 0.00650497
310 0.004265 -0.004265  -0.0649822 0.00650497
320 0.004265 -0.004265  -0.0649822 0.00650497
330 0.004265 -0.004265  -0.0649822 0.00650497
340 0.004265 -0.004265  -0.0649822 0.00650497
350 0.004265 -0.004265  -0.0649822 0.00650497
360 0.004265 -0.004265  -0.0649822 0.00650497
370 0.004265 -0.004265  -0.0649822 0.00650497
380 0.004265 -0.004265  -0.0649822 0.00650497
390 0.004265 -0.004265  -0.0649822 0.00650497
400 0.004265 -0.004265  -0.0649822 0.00650497
410 0.004265 -0.004265  -0.0649822 0.00650497
420 0.004265 -0.004265  -0.0649822 0.00650497
430 0.004265 -0.004265  -0.0649822 0.00650497
440 0.004265 -0.004265  -0.0649822 0.00650497
450 0.004265 -0.004265  -0.0649822 0.00650497
460 0.004265 -0.004265  -0.0649822 0.00650497
470 0.004265 -0.004265  -0.0649822 0.00650497
480 0.004265 -0.004265  -0.0649822 0.00650497
490 0.004265 -0.004265  -0.0649822 0.00650497
500 0.004265 -0.004265  -0.0649822 0.00650497
10 5.98674 -5.98674  -0.74245 2.33142
20 0.343402 -0.343402  -0.560591 -0.170703
30 0.173725 -0.173725  0.392746 0.139554
40 0.0671238 -0.0671238  0.239753 0.0981956
50 0.0113747 -0.0113747  -0.0183955 0.105054
60 0.00994142 -0.00994142  -0.00797459 0.0993873
70 0.000270982 -0.000270982  0.000224491 0.01646
80 0.000206844 -0.000206844  0.0139303 0.00357648
90 0.000162489 -0.000162489  0.0111119 0.00624614
100 0.000162489 -0.000162489  0.0111119 0.00624614
110 0.000162376 -0.000162376  0.0111065 0.00624685
120 0.000162376 -0.000162376  0.0111065 0.00624685
130 0.000162376 -0.000162376  0.0111065 0.00624685
140 0.000162376 -0.000162376  0.0111065 0.00624685
150 0.000162376 -0.000162376  0.0111065 0.00624685
160 0.000162376 -0.000162376  0.0111065 0.00624685
170 0.000162376 -0.000162376  0.0111065 0.00624685
