popSize bias beta 
4 0.2 0.2
10 10.3128 -10.3128  -0.253209 -3.20136
20 0.471411 -0.471411  -0.253209 -0.638198
30 0.471411 -0.471411  -0.253209 -0.638198
40 0.471411 -0.471411  -0.253209 -0.638198
50 0.471411 -0.471411  -0.253209 -0.638198
60 0.471411 -0.471411  -0.253209 -0.638198
70 0.471411 -0.471411  -0.253209 -0.638198
80 0.471411 -0.471411  -0.253209 -0.638198
90 0.471411 -0.471411  -0.253209 -0.638198
100 0.0415936 -0.0415936  0.203944 -0.000711903
110 0.0415936 -0.0415936  0.203944 -0.000711903
120 0.0415936 -0.0415936  0.203944 -0.000711903
130 0.0415936 -0.0415936  0.203944 -0.000711903
140 0.0415936 -0.0415936  0.203944 -0.000711903
150 0.0415936 -0.0415936  0.203944 -0.000711903
160 0.0415936 -0.0415936  0.203944 -0.000711903
170 0.0415936 -0.0415936  0.203944 -0.000711903
180 0.0415936 -0.0415936  0.203944 -0.000711903
190 0.0415936 -0.0415936  0.203944 -0.000711903
200 0.0415936 -0.0415936  0.203944 -0.000711903
210 0.0415936 -0.0415936  0.203944 -0.000711903
220 0.0415936 -0.0415936  0.203944 -0.000711903
230 0.0415936 -0.0415936  0.203944 -0.000711903
240 0.0415936 -0.0415936  0.203944 -0.000711903
250 0.0415936 -0.0415936  0.203944 -0.000711903
260 0.0415936 -0.0415936  0.203944 -0.000711903
270 0.0415936 -0.0415936  0.203944 -0.000711903
280 0.0415936 -0.0415936  0.203944 -0.000711903
290 0.0415936 -0.0415936  0.203944 -0.000711903
300 0.0415936 -0.0415936  0.203944 -0.000711903
310 0.0415936 -0.0415936  0.203944 -0.000711903
320 0.0415936 -0.0415936  0.203944 -0.000711903
330 0.0415936 -0.0415936  0.203944 -0.000711903
340 0.0415936 -0.0415936  0.203944 -0.000711903
350 0.0415936 -0.0415936  0.203944 -0.000711903
360 0.0415936 -0.0415936  0.203944 -0.000711903
370 0.0415936 -0.0415936  0.203944 -0.000711903
380 0.0415936 -0.0415936  0.203944 -0.000711903
390 0.0415936 -0.0415936  0.203944 -0.000711903
400 0.0415936 -0.0415936  0.203944 -0.000711903
410 0.0415936 -0.0415936  0.203944 -0.000711903
420 0.0415936 -0.0415936  0.203944 -0.000711903
430 0.0415936 -0.0415936  0.203944 -0.000711903
440 0.0415936 -0.0415936  0.203944 -0.000711903
450 0.0415936 -0.0415936  0.203944 -0.000711903
460 0.0415936 -0.0415936  0.203944 -0.000711903
470 0.0415936 -0.0415936  0.203944 -0.000711903
480 0.0415936 -0.0415936  0.203944 -0.000711903
490 0.0415936 -0.0415936  0.203944 -0.000711903
500 0.0415936 -0.0415936  0.203944 -0.000711903
10 0.838464 -0.838464  -0.895575 -0.190811
20 0.838464 -0.838464  -0.895575 -0.190811
30 0.838464 -0.838464  -0.895575 -0.190811
40 0.838464 -0.838464  -0.895575 -0.190811
50 0.838464 -0.838464  -0.895575 -0.190811
60 0.838464 -0.838464  -0.895575 -0.190811
70 0.838464 -0.838464  -0.895575 -0.190811
80 0.838464 -0.838464  -0.895575 -0.190811
90 0.838464 -0.838464  -0.895575 -0.190811
100 0.838464 -0.838464  -0.895575 -0.190811
110 0.838464 -0.838464  -0.895575 -0.190811
120 0.838464 -0.838464  -0.895575 -0.190811
130 0.838464 -0.838464  -0.895575 -0.190811
140 0.838464 -0.838464  -0.895575 -0.190811
150 0.838464 -0.838464  -0.895575 -0.190811
160 0.838464 -0.838464  -0.895575 -0.190811
170 0.838464 -0.838464  -0.895575 -0.190811
180 0.838464 -0.838464  -0.895575 -0.190811
190 0.838464 -0.838464  -0.895575 -0.190811
200 0.838464 -0.838464  -0.895575 -0.190811
210 0.838464 -0.838464  -0.895575 -0.190811
220 0.838464 -0.838464  -0.895575 -0.190811
