1
popSize bias beta 
4 0.2 0.2
10 6.58461 -6.58461  -1.71444 0.681589
20 4.49031 -4.49031  -0.375268 -1.04499
30 4.49031 -4.49031  -0.375268 -1.04499
40 3.86295 -3.86295  -0.347982 0.476682
50 3.86295 -3.86295  -0.347982 0.476682
60 3.86295 -3.86295  -0.347982 0.476682
70 3.86295 -3.86295  -0.347982 0.476682
80 3.2295 -3.2295  0.176746 -0.439546
90 3.2295 -3.2295  0.176746 -0.439546
100 2.8895 -2.8895  0.0126775 -0.439546
110 2.8895 -2.8895  0.0126775 -0.439546
120 2.8895 -2.8895  0.0126775 -0.439546
130 2.8895 -2.8895  0.0126775 -0.439546
140 2.8895 -2.8895  0.0126775 -0.439546
150 2.8895 -2.8895  0.0126775 -0.439546
160 2.8895 -2.8895  0.0126775 -0.439546
170 2.8895 -2.8895  0.0126775 -0.439546
180 2.8895 -2.8895  0.0126775 -0.439546
190 2.8895 -2.8895  0.0126775 -0.439546
200 2.8895 -2.8895  0.0126775 -0.439546
210 2.8895 -2.8895  0.0126775 -0.439546
220 2.8895 -2.8895  0.0126775 -0.439546
230 2.8895 -2.8895  0.0126775 -0.439546
240 2.8895 -2.8895  0.0126775 -0.439546
250 2.8895 -2.8895  0.0126775 -0.439546
260 2.8895 -2.8895  0.0126775 -0.439546
270 2.8895 -2.8895  0.0126775 -0.439546
280 2.8895 -2.8895  0.0126775 -0.439546
290 2.8895 -2.8895  0.0126775 -0.439546
300 2.8895 -2.8895  0.0126775 -0.439546
310 2.8895 -2.8895  0.0126775 -0.439546
320 2.8895 -2.8895  0.0126775 -0.439546
330 2.8895 -2.8895  0.0126775 -0.439546
340 2.8895 -2.8895  0.0126775 -0.439546
350 2.8895 -2.8895  0.0126775 -0.439546
360 2.8895 -2.8895  0.0126775 -0.439546
370 2.8895 -2.8895  0.0126775 -0.439546
380 2.8895 -2.8895  0.0126775 -0.439546
390 2.8895 -2.8895  0.0126775 -0.439546
400 2.8895 -2.8895  0.0126775 -0.439546
410 2.8895 -2.8895  0.0126775 -0.439546
420 2.8895 -2.8895  0.0126775 -0.439546
430 2.8895 -2.8895  0.0126775 -0.439546
440 2.8895 -2.8895  0.0126775 -0.439546
450 2.8895 -2.8895  0.0126775 -0.439546
460 2.8895 -2.8895  0.0126775 -0.439546
470 2.8895 -2.8895  0.0126775 -0.439546
480 2.8895 -2.8895  0.0126775 -0.439546
490 2.8895 -2.8895  0.0126775 -0.439546
500 2.8895 -2.8895  0.0126775 -0.439546
10 8.85736 -8.85736  -1.28869 2.59775
20 7.43195 -7.43195  -2.06059 1.76303
30 7.43195 -7.43195  -2.06059 1.76303
40 5.47389 -5.47389  1.84816 0.135762
50 3.33792 -3.33792  -0.546696 0.115797
60 0.971376 -0.971376  0.121195 0.0938781
70 0.971376 -0.971376  0.121195 0.0938781
80 0.971376 -0.971376  0.121195 0.0938781
90 0.971376 -0.971376  0.121195 0.0938781
100 0.971376 -0.971376  0.121195 0.0938781
110 0.971376 -0.971376  0.121195 0.0938781
120 0.971376 -0.971376  0.121195 0.0938781
130 0.971376 -0.971376  0.121195 0.0938781
140 0.971376 -0.971376  0.121195 0.0938781
150 0.971376 -0.971376  0.121195 0.0938781
160 0.971376 -0.971376  0.121195 0.0938781
170 0.971376 -0.971376  0.121195 0.0938781
180 0.971376 -0.971376  0.121195 0.0938781
190 0.971376 -0.971376  0.121195 0.0938781
200 0.971376 -0.971376  0.121195 0.0938781
210 0.971376 -0.971376  0.121195 0.0938781
220 0.971376 -0.971376  0.121195 0.0938781
230 0.971376 -0.971376  0.121195 0.0938781
240 0.971376 -0.971376  0.121195 0.0938781
250 0.971376 -0.971376  0.121195 0.0938781
260 0.971376 -0.971376  0.121195 0.0938781
270 0.971376 -0.971376  0.121195 0.0938781
280 0.971376 -0.971376  0.121195 0.0938781
290 0.971376 -0.971376  0.121195 0.0938781
300 0.971376 -0.971376  0.121195 0.0938781
310 0.971376 -0.971376  0.121195 0.0938781
320 0.971376 -0.971376  0.121195 0.0938781
330 0.971376 -0.971376  0.121195 0.0938781
340 0.971376 -0.971376  0.121195 0.0938781
350 0.971376 -0.971376  0.121195 0.0938781
360 0.971376 -0.971376  0.121195 0.0938781
370 0.971376 -0.971376  0.121195 0.0938781
380 0.971376 -0.971376  0.121195 0.0938781
390 0.971376 -0.971376  0.121195 0.0938781
400 0.971376 -0.971376  0.121195 0.0938781
410 0.971376 -0.971376  0.121195 0.0938781
420 0.971376 -0.971376  0.121195 0.0938781
430 0.971376 -0.971376  0.121195 0.0938781
440 0.971376 -0.971376  0.121195 0.0938781
450 0.971376 -0.971376  0.121195 0.0938781
460 0.971376 -0.971376  0.121195 0.0938781
470 0.971376 -0.971376  0.121195 0.0938781
480 0.971376 -0.971376  0.121195 0.0938781
490 0.778052 -0.778052  -0.106259 -0.0764866
500 0.778052 -0.778052  -0.106259 -0.0764866
10 9.04327 -9.04327  0.0313488 -3.82065
20 5.93799 -5.93799  1.35557 -0.466763
30 2.79079 -2.79079  0.415475 0.0135332
40 2.79079 -2.79079  0.415475 0.0135332
50 2.79079 -2.79079  0.415475 0.0135332
60 2.79079 -2.79079  0.415475 0.0135332
70 2.79079 -2.79079  0.415475 0.0135332
80 2.79079 -2.79079  0.415475 0.0135332
90 2.79079 -2.79079  0.415475 0.0135332
100 2.79079 -2.79079  0.415475 0.0135332
110 2.79079 -2.79079  0.415475 0.0135332
120 0.188507 -0.188507  -0.00318928 0.0464713
130 0.0725155 -0.0725155  0.0177439 0.0118863
140 0.0725155 -0.0725155  0.0177439 0.0118863
150 0.0725155 -0.0725155  0.0177439 0.0118863
160 0.0725155 -0.0725155  0.0177439 0.0118863
170 0.0725155 -0.0725155  0.0177439 0.0118863
180 0.0725155 -0.0725155  0.0177439 0.0118863
190 0.0725155 -0.0725155  0.0177439 0.0118863
200 0.0725155 -0.0725155  0.0177439 0.0118863
210 0.0725155 -0.0725155  0.0177439 0.0118863
220 0.0725155 -0.0725155  0.0177439 0.0118863
230 0.0725155 -0.0725155  0.0177439 0.0118863
240 0.0725155 -0.0725155  0.0177439 0.0118863
250 0.0725155 -0.0725155  0.0177439 0.0118863
260 0.0725155 -0.0725155  0.0177439 0.0118863
270 0.0725155 -0.0725155  0.0177439 0.0118863
280 0.0725155 -0.0725155  0.0177439 0.0118863
290 0.0725155 -0.0725155  0.0177439 0.0118863
300 0.0725155 -0.0725155  0.0177439 0.0118863
310 0.0725155 -0.0725155  0.0177439 0.0118863
320 0.0725155 -0.0725155  0.0177439 0.0118863
330 0.0725155 -0.0725155  0.0177439 0.0118863
340 0.0725155 -0.0725155  0.0177439 0.0118863
350 0.0725155 -0.0725155  0.0177439 0.0118863
360 0.0725155 -0.0725155  0.0177439 0.0118863
370 0.0725155 -0.0725155  0.0177439 0.0118863
380 0.0725155 -0.0725155  0.0177439 0.0118863
390 0.0725155 -0.0725155  0.0177439 0.0118863
400 0.0725155 -0.0725155  0.0177439 0.0118863
410 0.0725155 -0.0725155  0.0177439 0.0118863
420 0.0725155 -0.0725155  0.0177439 0.0118863
