1
popSize bias beta 
4 0.2 0.2
10 -7.47837 -11.7301  -8.73227 -8.56071
20 -9.5425 -9.666  -7.80972 -8.56071
30 -9.5425 -9.666  -7.80972 -8.56071
40 -14.6103 -4.5982  -8.35684 -8.99652
50 -14.6103 -4.5982  -8.35684 -8.99652
60 -14.6103 -4.5982  -8.35684 -8.99652
70 -14.6103 -4.5982  -8.35684 -8.99652
80 -14.6103 -4.5982  -8.35684 -8.99652
90 -14.6103 -4.5982  -8.35684 -8.99652
100 -14.6103 -4.5982  -8.35684 -8.99652
110 -14.6103 -4.5982  -8.35684 -8.99652
120 -14.6103 -4.5982  -8.35684 -8.99652
130 -14.6103 -4.5982  -8.35684 -8.99652
140 -16.6853 -2.52322  -7.54901 9.51305
150 -16.6853 -2.52322  -7.54901 9.51305
160 -16.6853 -2.52322  -7.54901 9.51305
170 -16.6853 -2.52322  -7.54901 9.51305
180 -16.6853 -2.52322  -7.54901 9.51305
190 -16.6853 -2.52322  -7.54901 9.51305
200 -16.6853 -2.52322  -7.54901 9.51305
210 -16.6853 -2.52322  -7.54901 9.51305
220 -16.6853 -2.52322  -7.54901 9.51305
230 -16.6853 -2.52322  -7.54901 9.51305
240 -16.6853 -2.52322  -7.54901 9.51305
250 -16.6853 -2.52322  -7.54901 9.51305
260 -18.7836 -0.424917  -8.24701 -9.73504
270 -18.7836 -0.424917  -8.24701 -9.73504
280 -18.7836 -0.424917  -8.24701 -9.73504
290 -18.7836 -0.424917  -8.24701 -9.73504
300 -18.7836 -0.424917  -8.24701 -9.73504
310 -18.7836 -0.424917  -8.24701 -9.73504
320 -18.7836 -0.424917  -8.24701 -9.73504
330 -18.7836 -0.424917  -8.24701 -9.73504
340 -18.7836 -0.424917  -8.24701 -9.73504
350 -18.7836 -0.424917  -8.24701 -9.73504
360 -18.7836 -0.424917  -8.24701 -9.73504
370 -18.7836 -0.424917  -8.24701 -9.73504
380 -18.7836 -0.424917  -8.24701 -9.73504
