1
popSize bias beta 
4 0.2 0.2
10 -2.84483 -1.40906  -1.68428 0.656083
20 -3.49061 -0.763276  -1.5491 1.61289
30 -3.49061 -0.763276  -1.5491 1.61289
40 -3.49061 -0.763276  -1.5491 1.61289
50 -3.49061 -0.763276  -1.5491 1.61289
60 -3.49061 -0.763276  -1.5491 1.61289
70 -3.49061 -0.763276  -1.5491 1.61289
80 -3.49061 -0.763276  -1.5491 1.61289
90 -3.49061 -0.763276  -1.5491 1.61289
100 -4.21461 -0.0392799  -1.63602 1.61289
110 -4.21461 -0.0392799  -1.63602 1.61289
120 -4.21461 -0.0392799  -1.63602 1.61289
130 -4.21461 -0.0392799  -1.63602 1.61289
140 -4.21461 -0.0392799  -1.63602 1.61289
150 -4.21461 -0.0392799  -1.63602 1.61289
160 -4.21461 -0.0392799  -1.63602 1.61289
170 -4.21461 -0.0392799  -1.63602 1.61289
180 -4.21461 -0.0392799  -1.63602 1.61289
190 -4.21461 -0.0392799  -1.63602 1.61289
200 -4.21461 -0.0392799  -1.63602 1.61289
210 -4.21461 -0.0392799  -1.63602 1.61289
220 -4.21461 -0.0392799  -1.63602 1.61289
230 -4.21461 -0.0392799  -1.63602 1.61289
240 -4.21461 -0.0392799  -1.63602 1.61289
250 -4.21461 -0.0392799  -1.63602 1.61289
260 -4.21461 -0.0392799  -1.63602 1.61289
270 -4.21461 -0.0392799  -1.63602 1.61289
280 -4.21461 -0.0392799  -1.63602 1.61289
290 -4.21461 -0.0392799  -1.63602 1.61289
300 -4.21461 -0.0392799  -1.63602 1.61289
310 -4.21461 -0.0392799  -1.63602 1.61289
320 -4.21461 -0.0392799  -1.63602 1.61289
330 -4.21461 -0.0392799  -1.63602 1.61289
340 -4.21461 -0.0392799  -1.63602 1.61289
350 -4.21461 -0.0392799  -1.63602 1.61289
360 -4.21461 -0.0392799  -1.63602 1.61289
370 -4.21461 -0.0392799  -1.63602 1.61289
380 -4.21461 -0.0392799  -1.63602 1.61289
390 -4.21461 -0.0392799  -1.63602 1.61289
400 -4.21461 -0.0392799  -1.63602 1.61289
410 -4.21461 -0.0392799  -1.63602 1.61289
